,fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results,results_absentee,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state
0,01001,Autauga,27770,0,19,19,Released as a precinct as first report of the night,100.0,27770.0,100%,100% reported,edison,10.0,all,,1896.0,,,"{'trumpd': 19838, 'bidenj': 7503, 'jorgensenj': 350, 'write-ins': 79}","{'trumpd': 0, 'bidenj': 0, 'jorgensenj': 0, 'write-ins': 0}",2020-12-10T01:14:32Z,44.41844,R+44,Trump +44,republican,trumpd,44.41844,24973,49.0,23973.0,45.95,alabama
1,01003,Baldwin,109679,0,51,51,"As a precinct in the FIRST cumulative report, along with regular precincts",100.0,109679.0,100%,100% reported,edison,10.0,all,,6293.0,,,"{'trumpd': 83544, 'bidenj': 24578, 'jorgensenj': 1229, 'write-ins': 328}","{'trumpd': 0, 'bidenj': 0, 'jorgensenj': 0, 'write-ins': 0}",2020-12-10T01:36:30Z,53.76234,R+54,Trump +54,republican,trumpd,53.76234,95215,57.2,85491.0,55.67,alabama
2,01005,Barbour,10518,0,17,17,Released as a precinct as first report of the night,100.0,10518.0,100%,100% reported,edison,10.0,unknown,,1554.0,,,"{'trumpd': 5622, 'bidenj': 4816, 'jorgensenj': 68, 'write-ins': 12}","{'trumpd': 0, 'bidenj': 0, 'jorgensenj': 0, 'write-ins': 0}",2021-03-07T03:11:09Z,7.66305,R+8,Trump +8,republican,trumpd,7.66305,10469,5.6,11517.0,-3.14,alabama
3,01007,Bibb,9595,571,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100.0,9595.0,100%,100% reported,edison,10.0,all,,410.0,,,"{'trumpd': 7525, 'bidenj': 1986, 'jorgensenj': 74, 'write-ins': 10}","{'trumpd': 352, 'bidenj': 215, 'jorgensenj': 4, 'write-ins': 0}",2020-12-10T01:16:44Z,57.72798,R+58,Trump +58,republican,trumpd,57.72798,8819,55.2,8420.0,46.67,alabama
4,01009,Blount,27588,0,25,25,"As a precinct in the FIRST cumulative report, along with regular precincts",100.0,27588.0,100%,100% reported,edison,10.0,unknown,,1181.0,,,"{'trumpd': 24711, 'bidenj': 2640, 'jorgensenj': 209, 'write-ins': 28}","{'trumpd': 0, 'bidenj': 0, 'jorgensenj': 0, 'write-ins': 0}",2021-03-07T03:17:31Z,80.00217,R+80,Trump +80,republican,trumpd,80.00217,25588,80.9,24060.0,73.93,alabama
5,01011,Bullock,4613,0,16,16,Released as a precinct as first report of the night,100.0,4613.0,100%,100% reported,edison,10.0,unknown,,557.0,,,"{'trumpd': 1146, 'bidenj': 3446, 'jorgensenj': 19, 'write-ins': 2}","{'trumpd': 0, 'bidenj': 0, 'jorgensenj': 0, 'write-ins': 0}",2021-03-07T03:17:25Z,49.85909,D+50,Biden +50,democrat,bidenj,-49.85909,4710,-50.7,5322.0,-52.8,alabama
6,01013,Butler,9488,1053,23,23,Released as a precinct as first report of the night,100.0,9488.0,100%,100% reported,edison,10.0,unknown,,4735.0,,,"{'trumpd': 5458, 'bidenj': 3965, 'jorgensenj': 59, 'write-ins': 6}","{'trumpd': 429, 'bidenj': 616, 'jorgensenj': 8, 'write-ins': 0}",2021-03-07T03:11:19Z,15.73567,R+16,Trump +16,republican,trumpd,15.73567,8732,13.5,9502.0,7.5,alabama
7,01015,Calhoun,50983,0,45,45,Released with cumulative results periodically election night,100.0,50983.0,100%,100% reported,edison,10.0,unknown,,1917.0,,,"{'trumpd': 35101, 'bidenj': 15216, 'jorgensenj': 553, 'write-ins': 113}","{'trumpd': 0, 'bidenj': 0, 'jorgensenj': 0, 'write-ins': 0}",2021-03-07T03:11:28Z,39.0032,R+39,Trump +39,republican,trumpd,39.0032,47864,41.0,46364.0,31.85,alabama
8,01017,Chambers,15284,0,21,21,Released as a precinct as first report of the night,100.0,15284.0,100%,100% reported,edison,10.0,all,,883.0,,,"{'trumpd': 8753, 'bidenj': 6365, 'jorgensenj': 141, 'write-ins': 25}","{'trumpd': 0, 'bidenj': 0, 'jorgensenj': 0, 'write-ins': 0}",2020-12-10T01:18:12Z,15.62418,R+16,Trump +16,republican,trumpd,15.62418,13900,14.8,14629.0,5.16,alabama
9,01019,Cherokee,12301,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100.0,12301.0,100%,100% reported,edison,10.0,all,,800.0,,,"{'trumpd': 10583, 'bidenj': 1624, 'jorgensenj': 82, 'write-ins': 12}","{'trumpd': 0, 'bidenj': 0, 'jorgensenj': 0, 'write-ins': 0}",2020-12-10T01:18:28Z,72.83148,R+73,Trump +73,republican,trumpd,72.83148,10733,69.0,9792.0,54.88,alabama
